Time Stamp,Temperature C,
2019-09-12T11:53:43.886Z,55.47,
2019-09-12T11:54:43.947Z,52.54,
2019-09-12T11:55:44.008Z,54,
2019-09-12T11:56:44.069Z,55.47,
2019-09-12T11:57:44.129Z,53.03,
2019-09-12T11:58:44.190Z,54.98,
2019-09-12T11:59:44.251Z,54.49,
2019-09-12T12:00:44.311Z,56.93,
2019-09-12T12:01:44.372Z,51.56,
2019-09-12T12:02:44.429Z,58.4,
2019-09-12T12:03:44.490Z,54.98,
2019-09-12T12:04:44.550Z,62.3,
2019-09-12T12:05:44.615Z,56.45,
2019-09-12T12:06:44.677Z,53.03,
2019-09-12T12:07:44.737Z,60.84,
2019-09-12T12:08:44.798Z,117.48,
2019-09-12T12:09:44.859Z,265.92,
2019-09-12T12:10:44.920Z,325.49,
2019-09-12T12:11:44.981Z,332.32,
2019-09-12T12:12:45.041Z,354.3,
2019-09-12T12:13:45.102Z,349.41,
2019-09-12T12:14:45.163Z,337.7,
2019-09-12T12:15:45.224Z,348.93,
2019-09-12T12:16:45.285Z,325.49,
2019-09-12T12:17:45.345Z,302.05,
2019-09-12T12:18:45.406Z,326.46,
2019-09-12T12:19:45.467Z,324.51,
2019-09-12T12:20:45.528Z,304.49,
